Email,Subject,Time,Body,Checked,In Time
GDW@ingrammicro.com,Shutdown job SAP Run 4 completed successfully at 01/16/20-14:11:57,2020-01-16 22:12:07,Shutdown job SAP Run 4 completed successfully at 01/16/20-14:11:57,1,False
GDW@ingrammicro.com,Shutdown job SAP Run 2 completed successfully at 01/16/20-17:44:20,2020-01-17 01:44:26,Shutdown job SAP Run 2 completed successfully at 01/16/20-17:44:20,1,False
GDW@ingrammicro.com,Shutdown job IFS Run 3 completed successfully at 01/16/20-19:42:42,2020-01-17 03:42:49,Shutdown job IFS Run 3 completed successfully at 01/16/20-19:42:42,1,False
GDW@ingrammicro.com,Shutdown job IMP Run 2 completed successfully at 01/16/20-19:45:42,2020-01-17 03:45:52,Shutdown job IMP Run 2 completed successfully at 01/16/20-19:45:42,1,False
GDW@ingrammicro.com,Shutdown job IFS Run 1 completed successfully at 01/17/20-03:21:25,2020-01-17 11:21:35,Shutdown job IFS Run 1 completed successfully at 01/17/20-03:21:25,1,True
GDW@ingrammicro.com,Shutdown job SAP Run 1 completed successfully at 01/17/20-04:27:29,2020-01-17 12:27:40,Shutdown job SAP Run 1 completed successfully at 01/17/20-04:27:29,1,False
GDW@ingrammicro.com,Shutdown job SAP Run 1 completed successfully at 01/17/20-04:27:29,2020-01-17 12:27:40,Shutdown job SAP Run 1 completed successfully at 01/17/20-04:27:29,1,False
GDW@ingrammicro.com,Shutdown job IMP Run 1 completed successfully at 01/17/20-04:37:03,2020-01-17 12:37:12,Shutdown job IMP Run 1 completed successfully at 01/17/20-04:37:03,1,False
GDW@ingrammicro.com,Shutdown job IMP Run 1 completed successfully at 01/17/20-04:37:03,2020-01-17 12:37:12,Shutdown job IMP Run 1 completed successfully at 01/17/20-04:37:03,1,False
GDW@ingrammicro.com,Startup job of IFS Run 3 completed successfully at 01/17/20-10:30:14,2020-01-17 18:30:39,Startup job of IFS Run 3 completed successfully at 01/17/20-10:30:14,1,True
GDW@ingrammicro.com,Startup job of IMP Run 2 completed successfully at 01/17/20-10:30:14,2020-01-17 18:30:22,Startup job of IMP Run 2 completed successfully at 01/17/20-10:30:14,1,True
GDW@ingrammicro.com,Startup job of IMP Run 4 completed successfully at 01/17/20-10:30:14,2020-01-17 18:30:21,Startup job of IMP Run 4 completed successfully at 01/17/20-10:30:14,1,True
GDW@ingrammicro.com,Startup job of SAP Run 2 completed successfully at 01/17/20-10:30:14,2020-01-17 18:30:35,Startup job of SAP Run 2 completed successfully at 01/17/20-10:30:14,1,True
