Job,Key Search,Datetime Received (PST),Process,Average Start/End (Time),Average Start/End (Bool),SLA (Time),SLA (Bool)
GDWD3499,Shutdown job SAP Run 4,2020-01-16 14:11:57,Completed,13:36:00,False,13:36:00,False
GDWD3299,Shutdown job SAP Run 2,2020-01-16 17:44:20,Completed,5:33:00,False,5:33:00,False
GDWD1399,Shutdown job IFS Run 3,2020-01-16 19:42:42,Completed,19:08:00,False,19:08:00,False
GDWD2299,Shutdown job IMP Run 2,2020-01-16 19:45:42,Completed,16:39:00,False,16:39:00,False
GDWD1199,Shutdown job IFS Run 1,2020-01-17 03:21:25,Completed,9:42:00,True,9:42:00,True
GDWD3199,Shutdown job SAP Run 1,2020-01-17 04:27:29,Completed,3:32:00,False,3:32:00,False
GDWD3199,Shutdown job SAP Run 1,2020-01-17 04:27:29,Completed,3:32:00,False,3:32:00,False
GDWD2199,Shutdown job IMP Run 1,2020-01-17 04:37:03,Completed,4:19:00,False,4:19:00,False
GDWD2199,Shutdown job IMP Run 1,2020-01-17 04:37:03,Completed,4:19:00,False,4:19:00,False
GDWD1300,Startup job of IFS Run 3,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD2200,Startup job of IMP Run 2,2020-01-17 10:30:14,Start,10:38:00,True,-----,-----
GDWD2400,Startup job of IMP Run 4,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD3200,Startup job of SAP Run 2,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD1200,Startup job of IFS Run 2,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD1100,Startup job of IFS Run 1,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD2100,Startup job of IMP Run 1,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD3400,Startup job of SAP Run 4,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD3100,Startup job of SAP Run 1,2020-01-17 10:30:14,Start,10:54:00,True,-----,-----
GDWD3499,Shutdown job SAP Run 4,2020-01-17 14:04:33,Completed,13:36:00,False,13:36:00,False
GDWD2499,Shutdown job IMP Run 4,2020-01-17 14:20:51,Completed,13:35:00,False,13:35:00,False
GDWD1399,Shutdown job IFS Run 3,2020-01-17 19:40:17,Completed,19:08:00,False,19:08:00,False
GDWD3299,Shutdown job SAP Run 2,2020-01-17 19:48:59,Completed,5:33:00,False,5:33:00,False
GDWD2299,Shutdown job IMP Run 2,2020-01-17 22:51:37,Completed,16:39:00,False,16:39:00,False
GDWD2199,Shutdown job IMP Run 1,2020-01-18 02:09:22,Completed,4:19:00,True,4:19:00,True
GDWD2199,Shutdown job IMP Run 1,2020-01-18 02:09:22,Completed,4:19:00,True,4:19:00,True
GDWD3199,Shutdown job SAP Run 1,2020-01-18 04:04:10,Completed,3:32:00,False,3:32:00,False
GDWD3199,Shutdown job SAP Run 1,2020-01-18 04:04:10,Completed,3:32:00,False,3:32:00,False
GDWD1199,Shutdown job IFS Run 1,2020-01-18 04:12:05,Completed,9:42:00,True,9:42:00,True
GDWD1200,Startup job of IFS Run 2,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD2200,Startup job of IMP Run 2,2020-01-18 10:30:10,Start,10:38:00,True,-----,-----
GDWD1300,Startup job of IFS Run 3,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD2400,Startup job of IMP Run 4,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD1100,Startup job of IFS Run 1,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD3100,Startup job of SAP Run 1,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD3200,Startup job of SAP Run 2,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD2100,Startup job of IMP Run 1,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD3400,Startup job of SAP Run 4,2020-01-18 10:30:10,Start,10:54:00,True,-----,-----
GDWD3499,Shutdown job SAP Run 4,2020-01-18 16:44:57,Completed,13:36:00,False,13:36:00,False
GDWD2299,Shutdown job IMP Run 2,2020-01-18 17:25:19,Completed,16:39:00,False,16:39:00,False
GDWD2499,Shutdown job IMP Run 4,2020-01-18 17:41:10,Completed,13:35:00,False,13:35:00,False
